"","SVN","FSS_26Aug14","STATION_KEY","Q75TH","biocriteria_status","FSS.sheet1","FSS.orig"
"1","05007MIX",10,"11003",NA,NA,9,NA
"2","05009MIX",10,"20392",NA,NA,9,NA
"3","05010MIX",8,"20394",NA,NA,7,NA
"4","12001MCB",42,"37174",14,"Attaining",12,41.8316838676429
"5","12002MCB",7,"37176",14,"Impaired",6,6.9124262153331
"6","12003MCB",16,"37183",14,"Attaining",8,15.588015724985
"7","12004MCB",14,"37189",14,"Attaining",10,13.9403351721242
"8","12005MCB",10,"37181",14,"Impaired",7,10.1858266343888
"9","12006MCB",6,"37175",14,"Potential Concern",14,6.38096147208292
"10","12007MCB",14,"37188",14,"Impaired",15,13.669488814373
"11","12008MCB",15,"37187",14,"Potential Concern",16,15.2708926088721
"12","12010MCB",8,"37182",14,"Attaining",11,8.03491940613674
"13","12013MCB",13,"37151",8,"Attaining",5,13.0908336665258
"14","12014MCB",6,"37185",14,"Impaired",15,5.93533744352655
"15","12016MCB",7,"37159",14,"Attaining",6,7.11063041945004
"16","12018MCB",12,"37154",14,"Attaining",6,12.3537628593256
"17","12019MCB",6,"37156",14,"Attaining",5,6.06937350104762
"18","12020MCB",16,"37161",14,"Impaired",5,16.3302513579368
"19","12021MCB",10,"37218",14,"Potential Concern",14,10.1765082826535
"20","12022MCB",5,"37168",14,"Attaining",10,5.20228785732992
"21","12023MCB",30,"37165",14,"Impaired",12,30.3445554738674
"22","12024MCB",10,"37166",14,"Attaining",13,10.3884030371357
"23","12025MCB",20,"37167",14,"Attaining",12,20.030798481683
"24","12026MCB",16,"37170",14,"Attaining",8,16.1905427932218
"25","12027MCB",8,"37150",8,"Attaining",7,8.21571587562313
"26","12028MCB",12,"37163",14,"Attaining",10,12.253636619649
"27","12029MCB",5,"37153",14,"Attaining",7,4.82639842281515
"28","12031MCB",10,"99999",14,"Attaining",12,9.64126665591447
"29","12032MCB",20,"37169",14,"Attaining",8,20.4340954538063
"30","12033MCB",5,"17122",14,"Attaining",12,4.89552926377696
"31","12035MCB",8,"37179",14,"Impaired",42,7.87156858229499
"32","12036MCB",11,"37180",14,"Potential Concern",20,10.8031381023307
"33","12037MCB",12,"21842",14,"Impaired",16,12.3139936704186
"34","12038MCB",6,"37219",14,"Attaining",16,5.54265536453117
"35","12039MCB",15,"37174",14,"Attaining",20,14.9265815310858
"36","12040MCB",12,"37152",14,"Attaining",5,12.350224434841
